"","olr.anom","date","week","year"
"12899",-11.9604233082942,2009-09-23,38,2009
"12906",-0.0756962660143675,2009-09-30,39,2009
"12913",-4.76291007593447,2009-10-07,40,2009
"12920",-3.49145018976398,2009-10-14,41,2009
"12927",3.64726947294118,2009-10-21,42,2009
"12934",8.40465525809628,2009-10-28,43,2009
"12941",17.3261808439551,2009-11-04,44,2009
"12948",1.23957710768131,2009-11-11,45,2009
"12955",-18.2125160892875,2009-11-18,46,2009
"12962",-3.30212925885327,2009-11-25,47,2009
"12969",2.73012006573588,2009-12-02,48,2009
"12976",20.9669686226187,2009-12-09,49,2009
"12983",8.42390093223884,2009-12-16,50,2009
"12990",11.4004676559033,2009-12-23,51,2009
"12997",-10.1955358396721,2009-12-30,52,2009
"13004",-12.5653134931521,2010-01-06,1,2010
"13011",-16.7803411136301,2010-01-13,2,2010
"13018",-4.07369310612289,2010-01-20,3,2010
"13025",19.419604585619,2010-01-27,4,2010
"13032",21.515546558818,2010-02-03,5,2010
"13039",33.2248775480997,2010-02-10,6,2010
"13046",26.6995319728579,2010-02-17,7,2010
"13053",17.4448893902397,2010-02-24,8,2010
"13060",17.2144684527279,2010-03-03,9,2010
"13067",15.5874323394297,2010-03-10,10,2010
"13074",4.86703608027991,2010-03-17,11,2010
"13081",-1.43250489847681,2010-03-24,12,2010
"13088",-13.5265893630967,2010-03-31,13,2010
"13095",2.11840810383105,2010-04-07,14,2010
"13102",1.38551951107198,2010-04-14,15,2010
"13109",-5.80754062481144,2010-04-21,16,2010
"13116",6.96065068329902,2010-04-28,17,2010
"13123",-3.34576430380768,2010-05-05,18,2010
"13130",-8.2616993940827,2010-05-12,19,2010
"13137",1.11978020666,2010-05-19,20,2010
"13144",5.61889433405779,2010-05-26,21,2010
"13151",6.23146504100564,2010-06-02,22,2010
"13158",1.7608612891009,2010-06-09,23,2010
"13165",6.07979665097928,2010-06-16,24,2010
"13172",-2.40186135161397,2010-06-23,25,2010
"13179",-2.24486856503011,2010-06-30,26,2010
"13186",-2.21572485292591,2010-07-07,27,2010
"13193",-2.00060075004728,2010-07-14,28,2010
"13200",-10.0243534169747,2010-07-21,29,2010
"13207",-14.9659179215803,2010-07-28,30,2010
"13214",-13.4262899718942,2010-08-04,31,2010
"13221",-8.90335575293582,2010-08-11,32,2010
"13228",-7.14784034123859,2010-08-18,33,2010
"13235",-1.64908176270606,2010-08-25,34,2010
"13242",0.540678159782236,2010-09-01,35,2010
"13249",-13.9943003186619,2010-09-08,36,2010
"13256",3.19487827177836,2010-09-15,37,2010
"13263",-1.76705102227648,2010-09-22,38,2010
"13270",-3.78498270991573,2010-09-29,39,2010
"13277",-13.3972351937725,2010-10-06,40,2010
"13284",-5.50685906570786,2010-10-13,41,2010
"13291",-4.12498669154424,2010-10-20,42,2010
"13298",-13.3908917098051,2010-10-27,43,2010
"13305",-10.8842442808616,2010-11-03,44,2010
"13312",4.15903331218897,2010-11-10,45,2010
"13319",-3.50314785248861,2010-11-17,46,2010
