year,month,day,aao_index_cdas
1986,2,10,-2.354159594
1986,2,11,-1.872844815
1986,2,12,-1.489721537
1986,2,13,-1.175975919
1986,2,14,-1.243121624
1986,2,15,-1.548244476
1986,2,16,-1.47489655
1986,2,17,-1.45973599
1986,2,18,-1.309530139
1986,2,19,-1.645346999
1986,2,20,-2.151990414
1986,2,21,-2.615636349
1986,2,22,-2.552740335
1986,2,23,-2.416528702
1986,2,24,-2.637333155
1986,2,25,-2.570883751
1986,2,26,-2.471286058
1986,2,27,-2.167965889
1986,2,28,-1.916141868
1986,3,1,-1.566575289
1986,3,2,-1.742282748
1986,3,3,-1.637438536
1986,3,4,-1.370108008
1986,3,5,-1.439074993
1986,3,6,-1.199969649
1986,3,7,-1.138422608
1986,3,8,-1.160735846
1986,3,9,-0.769519091
1986,3,10,-0.249505863
1986,3,11,-0.683245897
1986,3,12,-1.082305312
1986,3,13,-0.993781745
1986,3,14,-1.483978868
1986,3,15,-2.014109612
1986,3,16,-2.41163516
1986,3,17,-2.18978548
1986,3,18,-1.803237319
1986,3,19,-1.551230788
1986,3,20,-1.264265299
1986,3,21,-1.003691316
1986,3,22,-0.446289033
1986,3,23,0.3620920777320862
1986,3,24,0.24636369943618774
1986,3,25,-0.355540574
1986,3,26,-0.418188244
1986,3,27,-0.046951946
1986,3,28,0.5660241842269897
1986,3,29,1.5203851461410522
1986,3,30,2.2173831462860107
1986,3,31,2.0297133922576904
1986,4,1,1.339874029159546
1986,4,2,0.488782674
1986,4,3,0.057755973
1986,4,4,0.22913441061973572
1986,4,5,0.2313036471605301
1986,4,6,-0.166146025
1986,4,7,-0.54149437
1986,4,8,-0.687806487
1986,4,9,-0.971509814
1986,4,10,-1.086770773
1986,4,11,-1.099268794
1986,4,12,-0.959075511
1986,4,13,-1.002416372
1986,4,14,-0.651135623
1986,4,15,-0.047642045
1986,4,16,-0.010852186
1986,4,17,-0.336171627
1986,4,18,-0.213525087
1986,4,19,0.13043361902236938
1986,4,20,0.003127885
1986,4,21,0.5395297408103943
1986,4,22,0.8996647596359253
1986,4,23,0.5394265651702881
